Oligo_ID	Symbol v12
hCT001098	ANXA7
hCT001099	ANXA7
hCT001100	ANXA7
hCT001101	OCRL
hCT001102	OCRL
hCT001103	OCRL
hCT001104	OCRL
hCM001105	HMBS
hCM001106	HMBS
hCM001107	SDHA
hCM001108	SDHA
hCM001109	SDHA
hCM001110	SDHA
hCM001111	SDHA
hCM001112	SDHA
hCM001113	B2M
hCM001114	B2M
hCM001115	B2M
hCM001116	B2M
hCM001117	B2M
hCM001118	B2M
hCT001119	ANXA7
hCT001120	ANXA7
hCT001121	ANXA7
hCT001122	ANXA7
hCT001123	ANXA7
hCT001124	ANXA7
hCT001125	OCRL
hCT001126	OCRL
hCT001127	OCRL
hCT001128	OCRL
hCM001129	HMBS
hCM001130	HMBS
hCM001131	SDHA
hCM001132	SDHA
hCM001133	SDHA
hCM001134	SDHA
hCM001135	SDHA
hCM001136	SDHA
hCM001137	B2M
hCM001138	B2M
hCM001139	B2M
hCM001140	B2M
hCM001141	B2M
hCM001142	B2M
hCT001143	ANXA7
hCT001144	ANXA7
hCT001145	ANXA7
hCT001146	ANXA7
hCT001147	ANXA7
hCT001148	ANXA7
hCT001149	OCRL
hCT001150	OCRL
hCT001151	OCRL
hCT001152	OCRL
hCT001153	OCRL
hCT001154	OCRL
hCT001155	OCRL
hCT001156	OCRL
hCT001157	APP
hCT001158	APP
hCT001159	APP
hCT001160	APP
hCT001161	HMGCR
hCT001162	HMGCR
hCT001163	HMGCR
hCT001164	HMGCR
hCT001165	HMGCR
hCT001166	PTPRC
hCT001167	PTPRC
hCT001168	PTPRC
hCT001169	PTPRC
hCT001170	RB1
hCT001171	RB1
hCT001172	RB1
hCT001173	RB1
hCT001174	RB1
hCT001175	RB1
hCT001176	ANXA7
hCT001177	OCRL
hCT001178	OCRL
hCT001179	OCRL
hCT001180	OCRL
hCT001181	OCRL
hCT001182	APP
hCT001183	APP
hCT001184	APP
hCT001185	HMGCR
hCT001186	HMGCR
hCT001187	HMGCR
hCT001188	HMGCR
hCT001189	HMGCR
hCT001190	PTPRC
hCT001191	PTPRC
hCT001192	PTPRC
hCT001193	PTPRC
hCT001194	PTPRC
hCT001195	RB1
hCT001196	RB1
hCT001197	RB1
hCT001198	RB1
hCT001199	RB1
hCT001200	ANXA7
hCT001201	OCRL
hCT001202	OCRL
hCT001203	OCRL
hCT001204	OCRL
hCT001205	OCRL
hCT001206	APP
hCT001207	APP
hCT001208	APP
hCT001209	APP
hCT001210	HMGCR
hCT001211	HMGCR
hCT001212	HMGCR
hCT001213	HMGCR
hCT001214	PTPRC
hCT001215	PTPRC
hCT001216	PTPRC
hCT001217	PTPRC
hCT001218	PTPRC
hCT001219	RB1
hCT001220	RB1
hCT001221	RB1
hCT001222	RB1
hCT001223	RB1
hCT001224	ANXA7
hCT001225	OCRL
hCT001226	OCRL
hCT001227	OCRL
hCT001228	OCRL
hCT001229	OCRL
hCT001230	APP
hCT001231	APP
hCT001232	APP
hCT001233	APP
hCT001234	HMGCR
hCT001235	HMGCR
hCT001236	HMGCR
hCT001237	HMGCR
hCT001238	PTPRC
hCT001239	PTPRC
hCT001240	PTPRC
hCT001241	PTPRC
hCT001242	PTPRC
hCT001243	RB1
hCT001244	RB1
hCT001245	RB1
hCT001246	RB1
hCT001247	RB1
hCT001248	RB1
hCT001249	ANXA7
hCT001250	ANXA7
hCT001251	ANXA7
hCT001252	ANXA7
hCT001253	ANXA7
hCT001254	OCRL
hCT001255	OCRL
hCT001256	OCRL
